Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,I1_5,SimpleRepeat_diTR_gt200_slop5,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,1117.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,I1_5,SimpleRepeat_homopolymer_4to6_slop5,ALL,*,QUAL,*,0.978858,0.971552,0.31075,0.975191,702,290,789111519.000000,690199335.000000,0.000000,60969,.,.,33542.000000,23789.000000,,1.40997940224,59680,.,.,32645.000000,23746.000000,,1.37475785395,1289,.,.,897.000000,43.000000,,20.8604651163,87720,.,.,51210.000000,33113.000000,,1.54652251382,58741,.,.,33753.000000,23588.000000,,1.43093946074,1720,.,.,946.000000,712.000000,,1.32865168539,27259,.,.,16511.000000,8813.000000,,1.87348235561
INDEL,I1_5,SimpleRepeat_homopolymer_4to6_slop5,PASS,*,QUAL,*,0.978858,0.971552,0.31075,0.975191,702,290,789111519.000000,690199335.000000,0.000000,60969,.,.,33542.000000,23789.000000,,1.40997940224,59680,.,.,32645.000000,23746.000000,,1.37475785395,1289,.,.,897.000000,43.000000,,20.8604651163,87720,.,.,51210.000000,33113.000000,,1.54652251382,58741,.,.,33753.000000,23588.000000,,1.43093946074,1720,.,.,946.000000,712.000000,,1.32865168539,27259,.,.,16511.000000,8813.000000,,1.87348235561
INDEL,I1_5,SimpleRepeat_homopolymer_7to11_slop5,ALL,*,QUAL,*,0.983217,0.98142,0.216647,0.982318,553,160,49788855.000000,42482235.000000,0.000000,57618,.,.,35743.000000,19707.000000,,1.81372101284,56651,.,.,34929.000000,19688.000000,,1.77412637139,967,.,.,814.000000,19.000000,,42.8421052632,73036,.,.,45647.000000,25386.000000,,1.7981170724,56150,.,.,35497.000000,19529.000000,,1.81765579395,1063,.,.,490.000000,548.000000,,0.894160583942,15823,.,.,9660.000000,5309.000000,,1.81955170465
INDEL,I1_5,SimpleRepeat_homopolymer_7to11_slop5,PASS,*,QUAL,*,0.983217,0.98142,0.216647,0.982318,553,160,49788855.000000,42482235.000000,0.000000,57618,.,.,35743.000000,19707.000000,,1.81372101284,56651,.,.,34929.000000,19688.000000,,1.77412637139,967,.,.,814.000000,19.000000,,42.8421052632,73036,.,.,45647.000000,25386.000000,,1.7981170724,56150,.,.,35497.000000,19529.000000,,1.81765579395,1063,.,.,490.000000,548.000000,,0.894160583942,15823,.,.,9660.000000,5309.000000,,1.81955170465
INDEL,I1_5,SimpleRepeat_homopolymer_gt11_slop5,ALL,*,QUAL,*,0.967721,0.949502,0.685416,0.958525,991,604,18344341.000000,8079935.000000,0.000000,48731,.,.,22728.000000,17860.000000,,1.2725643897,47158,.,.,21846.000000,17705.000000,,1.233888732,1573,.,.,882.000000,155.000000,,5.69032258065,157122,.,.,94981.000000,47354.000000,,2.00576508848,46932,.,.,25986.000000,17634.000000,,1.47363048656,2496,.,.,1465.000000,780.000000,,1.87820512821,107694,.,.,67530.000000,28940.000000,,2.33344851417
INDEL,I1_5,SimpleRepeat_homopolymer_gt11_slop5,PASS,*,QUAL,*,0.967721,0.949502,0.685416,0.958525,991,604,18344341.000000,8079935.000000,0.000000,48731,.,.,22728.000000,17860.000000,,1.2725643897,47158,.,.,21846.000000,17705.000000,,1.233888732,1573,.,.,882.000000,155.000000,,5.69032258065,157122,.,.,94981.000000,47354.000000,,2.00576508848,46932,.,.,25986.000000,17634.000000,,1.47363048656,2496,.,.,1465.000000,780.000000,,1.87820512821,107694,.,.,67530.000000,28940.000000,,2.33344851417
INDEL,I1_5,SimpleRepeat_homopolymer_gt20_slop5,ALL,*,QUAL,*,0.877551,0.718514,0.966419,0.790109,93,177,5039520.000000,315172.000000,0.000000,1323,.,.,377.000000,256.000000,,1.47265625,1161,.,.,319.000000,245.000000,,1.30204081633,162,.,.,58.000000,11.000000,,5.27272727273,47288,.,.,28219.000000,12530.000000,,2.25211492418,1141,.,.,789.000000,240.000000,,3.2875,447,.,.,338.000000,73.000000,,4.6301369863,45700,.,.,27092.000000,12217.000000,,2.21756568716
INDEL,I1_5,SimpleRepeat_homopolymer_gt20_slop5,PASS,*,QUAL,*,0.877551,0.718514,0.966419,0.790109,93,177,5039520.000000,315172.000000,0.000000,1323,.,.,377.000000,256.000000,,1.47265625,1161,.,.,319.000000,245.000000,,1.30204081633,162,.,.,58.000000,11.000000,,5.27272727273,47288,.,.,28219.000000,12530.000000,,2.25211492418,1141,.,.,789.000000,240.000000,,3.2875,447,.,.,338.000000,73.000000,,4.6301369863,45700,.,.,27092.000000,12217.000000,,2.21756568716
INDEL,I1_5,SimpleRepeat_imperfecthomopolgt10_slop5,ALL,*,QUAL,*,0.971196,0.957803,0.62998,0.964453,1228,680,44462862.000000,28257403.000000,0.000000,69192,.,.,35690.000000,24170.000000,,1.47662391394,67199,.,.,34467.000000,24006.000000,,1.43576605849,1993,.,.,1223.000000,164.000000,,7.45731707317,188360,.,.,114543.000000,57882.000000,,1.97890535918,66756,.,.,38993.000000,23881.000000,,1.63280432143,2941,.,.,1663.000000,1019.000000,,1.63199214917,118663,.,.,73887.000000,32982.000000,,2.24022193924
